territory_id,region,mpi,competitor_intensity,urban_index,num_target_hcps,actual_revenue,call_volume,conversion_rate,potential_revenue,realization_pct,med_mpi,med_revenue,opportunity_gap_usd,whitespace_quadrant
T022,Northeast,46.8,0.83,0.42,231,0.0,0,0.0,397800.0,0.0,54.05,88076.44999999998,397800.0,Abandon
T048,Southwest,52.9,0.67,0.54,165,55815.21999999999,111,0.21621621621621623,449650.0,12.4,54.05,88076.44999999998,393834.78,Abandon
T023,Southwest,81.4,0.46,0.51,271,305686.35000000003,156,0.19230769230769232,691900.0,44.2,54.05,88076.44999999998,386213.65,Star
T044,Midwest,57.7,0.46,0.53,141,125530.82,108,0.1574074074074074,490450.0,25.6,54.05,88076.44999999998,364919.18,Star
T009,Midwest,59.2,0.36,0.96,275,144272.58999999997,113,0.1504424778761062,503200.0,28.7,54.05,88076.44999999998,358927.41,Star
T003,Midwest,71.1,0.74,0.38,281,261912.43999999986,430,0.21395348837209302,604350.0,43.3,54.05,88076.44999999998,342437.56,Star
T043,West,39.4,0.42,0.44,192,0.0,0,0.0,334900.0,0.0,54.05,88076.44999999998,334900.0,Abandon
T007,Midwest,36.7,0.37,0.36,184,0.0,0,0.0,311950.0,0.0,54.05,88076.44999999998,311950.0,Abandon
T027,Southwest,48.2,0.62,0.69,289,99079.97000000002,108,0.21296296296296297,409700.0,24.2,54.05,88076.44999999998,310620.03,Saturated
T042,Midwest,35.7,0.69,0.57,96,0.0,0,0.0,303450.0,0.0,54.05,88076.44999999998,303450.0,Abandon
T039,Southwest,40.9,0.79,0.51,178,48522.69999999999,155,0.18064516129032257,347650.0,14.0,54.05,88076.44999999998,299127.3,Abandon
T005,West,35.1,0.64,0.45,241,0.0,0,0.0,298350.0,0.0,54.05,88076.44999999998,298350.0,Abandon
T015,Southeast,38.6,0.76,0.7,243,29857.719999999994,108,0.1574074074074074,328100.0,9.1,54.05,88076.44999999998,298242.28,Abandon
T024,Southeast,56.7,0.31,0.52,256,192598.74000000002,97,0.24742268041237114,481950.0,40.0,54.05,88076.44999999998,289351.26,Star
T004,West,33.6,0.33,0.34,169,0.0,0,0.0,285600.0,0.0,54.05,88076.44999999998,285600.0,Abandon
T011,Southwest,61.5,0.49,0.26,193,264658.1600000001,212,0.1179245283018868,522750.0,50.6,54.05,88076.44999999998,258091.84,Star
T016,Southwest,39.6,0.78,0.57,296,93993.36999999998,311,0.19292604501607716,336600.0,27.9,54.05,88076.44999999998,242606.63,Saturated
T018,Northwest,47.6,0.58,0.61,243,165087.80000000002,84,0.19047619047619047,404600.0,40.8,54.05,88076.44999999998,239512.2,Saturated
T026,West,34.4,0.6,0.2,115,58322.100000000006,167,0.1437125748502994,292400.0,19.9,54.05,88076.44999999998,234077.9,Abandon
T046,Northeast,29.7,0.53,0.58,191,40041.95000000001,68,0.2647058823529412,252450.0,15.9,54.05,88076.44999999998,212408.05,Abandon
T014,West,28.1,0.31,0.36,199,37616.76000000001,56,0.25,238850.0,15.7,54.05,88076.44999999998,201233.24,Abandon
T041,Northeast,34.3,0.79,0.48,109,111391.72,216,0.14351851851851852,291550.0,38.2,54.05,88076.44999999998,180158.28,Saturated
T038,Midwest,25.1,0.79,0.92,296,52750.4,308,0.24675324675324675,213350.0,24.7,54.05,88076.44999999998,160599.6,Abandon
T006,Southeast,25.1,0.4,0.39,194,80522.27999999998,108,0.16666666666666666,213350.0,37.7,54.05,88076.44999999998,132827.72,Abandon
T037,Northwest,48.3,0.38,0.5,102,291461.22000000003,72,0.19444444444444445,410550.0,71.0,54.05,88076.44999999998,119088.78,Saturated
T047,Southeast,61.5,0.32,0.77,296,416777.29000000004,287,0.18815331010452963,522750.0,79.7,54.05,88076.44999999998,105972.71,Star
T019,Southeast,20.3,0.69,0.52,217,66915.57,144,0.16666666666666666,172550.0,38.8,54.05,88076.44999999998,105634.43,Abandon
T001,Southwest,14.3,0.69,0.28,172,25852.210000000003,144,0.2569444444444444,121550.0,21.3,54.05,88076.44999999998,95697.79,Abandon
T036,Northwest,44.3,0.64,0.58,92,308501.58999999997,216,0.18518518518518517,376550.0,81.9,54.05,88076.44999999998,68048.41,Saturated
T008,Midwest,20.8,0.51,0.69,214,149032.81,480,0.19166666666666668,176800.0,84.3,54.05,88076.44999999998,27767.19,Saturated
T045,West,42.6,0.43,0.63,163,334613.02999999985,442,0.19004524886877827,362100.0,92.4,54.05,88076.44999999998,27486.97,Saturated
T010,West,58.6,0.36,0.47,137,538427.7600000002,120,0.14166666666666666,498100.0,108.1,54.05,88076.44999999998,-40327.76,Star
T013,Northwest,20.5,0.41,0.31,236,217513.24000000014,495,0.16161616161616163,174250.0,124.8,54.05,88076.44999999998,-43263.24,Saturated
T020,Southwest,75.9,0.33,0.98,180,724924.4700000003,408,0.20098039215686275,645150.0,112.4,54.05,88076.44999999998,-79774.47,Star
T028,Northeast,59.8,0.71,0.49,175,663986.7900000004,1136,0.19982394366197184,508300.0,130.6,54.05,88076.44999999998,-155686.79,Star
