call_id,rep_id,hcp_id,territory_id,product_promoted,call_date,month,year,month_num,channel,call_outcome,converted,call_duration_min,samples_dropped
C0000047,R001,H0087,T010,P005,2023-10-09,2023-10-01,2023,10,In-Person Visit,Follow-up Scheduled,False,18,True
C0000048,R001,H0133,T010,P006,2023-10-21,2023-10-01,2023,10,In-Person Visit,Positive - Interest Shown,False,44,True
C0000049,R001,H0133,T010,P002,2023-10-01,2023-10-01,2023,10,Virtual Detail,Neutral - Information Only,False,42,True
C0000050,R001,H0133,T010,P004,2023-10-25,2023-10-01,2023,10,In-Person Visit,Negative - No Interest,False,10,True
C0000051,R001,H0133,T010,P004,2023-11-12,2023-11-01,2023,11,Virtual Detail,Neutral - Information Only,False,27,True
C0000052,R001,H0087,T010,P006,2023-11-01,2023-11-01,2023,11,In-Person Visit,Neutral - Information Only,False,23,False
C0000053,R001,H0133,T010,P004,2023-11-26,2023-11-01,2023,11,In-Person Visit,Positive - Prescription Written,True,14,False
C0000054,R001,H0133,T010,P002,2023-11-23,2023-11-01,2023,11,In-Person Visit,Neutral - Information Only,False,23,False
C0000055,R001,H0133,T010,P004,2023-11-29,2023-11-01,2023,11,In-Person Visit,Neutral - Information Only,False,17,False
C0000056,R001,H0133,T010,P002,2023-12-28,2023-12-01,2023,12,In-Person Visit,Neutral - Information Only,False,29,True
C0000057,R001,H0087,T010,P002,2023-12-23,2023-12-01,2023,12,In-Person Visit,Positive - Prescription Written,False,12,False
C0000058,R001,H0087,T010,P005,2023-12-25,2023-12-01,2023,12,In-Person Visit,Neutral - Information Only,False,30,True
C0000059,R001,H0489,T010,P006,2023-12-28,2023-12-01,2023,12,In-Person Visit,Positive - Prescription Written,False,30,False
C0000060,R001,H0087,T010,P001,2023-12-24,2023-12-01,2023,12,Virtual Detail,Positive - Prescription Written,False,14,False
C0000061,R001,H0133,T010,P006,2024-01-07,2024-01-01,2024,1,In-Person Visit,Positive - Prescription Written,False,39,False
C0000062,R001,H0177,T010,P005,2024-01-25,2024-01-01,2024,1,Speaker Program,Neutral - Information Only,False,9,False
C0000063,R001,H0133,T010,P004,2024-01-07,2024-01-01,2024,1,In-Person Visit,Neutral - Information Only,False,24,False
C0000064,R001,H0128,T010,P006,2024-01-06,2024-01-01,2024,1,Conference,Positive - Interest Shown,True,44,False
C0000065,R001,H0133,T010,P003,2024-01-08,2024-01-01,2024,1,In-Person Visit,Neutral - Information Only,False,25,True
C0000066,R001,H0177,T010,P004,2024-02-22,2024-02-01,2024,2,In-Person Visit,Positive - Prescription Written,True,43,True
C0000067,R001,H0087,T010,P002,2024-02-22,2024-02-01,2024,2,In-Person Visit,Negative - No Interest,False,18,False
C0000068,R001,H0133,T010,P001,2024-02-20,2024-02-01,2024,2,In-Person Visit,Negative - No Interest,False,8,False
C0000069,R001,H0177,T010,P001,2024-02-04,2024-02-01,2024,2,Email Follow-up,Positive - Prescription Written,False,17,False
C0000070,R001,H0489,T010,P002,2024-02-03,2024-02-01,2024,2,Email Follow-up,Positive - Interest Shown,False,30,True
C0000071,R001,H0133,T010,P001,2024-03-19,2024-03-01,2024,3,Conference,Positive - Interest Shown,False,7,True
C0000072,R001,H0177,T010,P002,2024-03-02,2024-03-01,2024,3,In-Person Visit,Positive - Prescription Written,True,24,False
C0000073,R001,H0133,T010,P002,2024-03-24,2024-03-01,2024,3,In-Person Visit,Neutral - Information Only,False,39,False
C0000074,R001,H0133,T010,P005,2024-03-02,2024-03-01,2024,3,In-Person Visit,Negative - No Interest,False,42,True
C0000075,R001,H0133,T010,P001,2024-03-11,2024-03-01,2024,3,Virtual Detail,Neutral - Information Only,False,14,False
C0000076,R001,H0133,T010,P001,2024-04-04,2024-04-01,2024,4,In-Person Visit,Positive - Interest Shown,False,19,True
C0000077,R001,H0087,T010,P006,2024-04-27,2024-04-01,2024,4,In-Person Visit,Positive - Prescription Written,True,30,True
C0000078,R001,H0133,T010,P004,2024-04-10,2024-04-01,2024,4,In-Person Visit,Positive - Prescription Written,False,10,False
C0000079,R001,H0087,T010,P006,2024-04-13,2024-04-01,2024,4,Virtual Detail,Neutral - Information Only,False,10,False
C0000080,R001,H0133,T010,P001,2024-04-06,2024-04-01,2024,4,In-Person Visit,Positive - Interest Shown,False,14,False
C0000081,R001,H0489,T010,P002,2024-05-24,2024-05-01,2024,5,Virtual Detail,Positive - Interest Shown,True,41,False
C0000082,R001,H0087,T010,P006,2024-05-27,2024-05-01,2024,5,In-Person Visit,Positive - Interest Shown,False,12,True
C0000083,R001,H0177,T010,P004,2024-05-11,2024-05-01,2024,5,In-Person Visit,Negative - No Interest,False,32,True
C0000084,R001,H0177,T010,P005,2024-05-16,2024-05-01,2024,5,In-Person Visit,Positive - Interest Shown,False,41,False
C0000085,R001,H0128,T010,P003,2024-05-09,2024-05-01,2024,5,In-Person Visit,Neutral - Information Only,False,38,False
C0000086,R001,H0133,T010,P002,2024-06-05,2024-06-01,2024,6,In-Person Visit,Neutral - Information Only,False,42,True
C0000087,R001,H0087,T010,P003,2024-06-27,2024-06-01,2024,6,In-Person Visit,Positive - Prescription Written,False,44,True
C0000088,R001,H0133,T010,P004,2024-06-28,2024-06-01,2024,6,Email Follow-up,Neutral - Information Only,False,6,False
C0000089,R001,H0133,T010,P001,2024-06-29,2024-06-01,2024,6,Virtual Detail,Neutral - Information Only,False,12,False
C0000090,R001,H0128,T010,P006,2024-06-09,2024-06-01,2024,6,Email Follow-up,Positive - Prescription Written,False,31,True
C0000091,R001,H0133,T010,P004,2024-07-27,2024-07-01,2024,7,Virtual Detail,Neutral - Information Only,False,33,True
C0000092,R001,H0128,T010,P002,2024-07-25,2024-07-01,2024,7,Email Follow-up,Negative - No Interest,False,43,True
C0000093,R001,H0128,T010,P003,2024-07-15,2024-07-01,2024,7,Virtual Detail,Follow-up Scheduled,False,15,True
C0000094,R001,H0489,T010,P006,2024-07-03,2024-07-01,2024,7,Email Follow-up,Positive - Prescription Written,False,22,True
C0000095,R001,H0087,T010,P004,2024-07-23,2024-07-01,2024,7,In-Person Visit,Neutral - Information Only,False,8,False
C0000096,R001,H0133,T010,P001,2024-08-07,2024-08-01,2024,8,Conference,Neutral - Information Only,False,28,False
C0000097,R001,H0087,T010,P005,2024-08-21,2024-08-01,2024,8,Conference,Positive - Interest Shown,False,24,True
C0000098,R001,H0133,T010,P003,2024-08-21,2024-08-01,2024,8,In-Person Visit,Neutral - Information Only,False,7,True
C0000099,R001,H0133,T010,P002,2024-08-12,2024-08-01,2024,8,Virtual Detail,Follow-up Scheduled,False,16,False
C0000100,R001,H0489,T010,P004,2024-08-26,2024-08-01,2024,8,Virtual Detail,Positive - Prescription Written,True,34,True
C0000101,R001,H0087,T010,P001,2024-09-17,2024-09-01,2024,9,In-Person Visit,Follow-up Scheduled,False,36,False
C0000102,R001,H0133,T010,P001,2024-09-03,2024-09-01,2024,9,In-Person Visit,Positive - Prescription Written,True,19,True
C0000103,R001,H0128,T010,P005,2024-09-12,2024-09-01,2024,9,Virtual Detail,Neutral - Information Only,False,17,True
C0000104,R001,H0128,T010,P004,2024-09-08,2024-09-01,2024,9,Speaker Program,Positive - Interest Shown,True,30,True
C0000105,R001,H0128,T010,P006,2024-09-04,2024-09-01,2024,9,Virtual Detail,Positive - Prescription Written,True,13,True
C0000106,R001,H0133,T010,P002,2024-10-12,2024-10-01,2024,10,In-Person Visit,Follow-up Scheduled,False,7,False
C0000107,R001,H0133,T010,P002,2024-10-23,2024-10-01,2024,10,Virtual Detail,Follow-up Scheduled,False,16,False
C0000108,R001,H0128,T010,P005,2024-10-08,2024-10-01,2024,10,In-Person Visit,Positive - Interest Shown,True,8,False
C0000109,R001,H0128,T010,P005,2024-10-12,2024-10-01,2024,10,In-Person Visit,Neutral - Information Only,False,27,False
C0000110,R001,H0133,T010,P001,2024-10-20,2024-10-01,2024,10,In-Person Visit,Positive - Prescription Written,True,28,True
C0000111,R001,H0133,T010,P006,2024-11-11,2024-11-01,2024,11,In-Person Visit,Neutral - Information Only,False,21,False
C0000112,R001,H0133,T010,P002,2024-11-20,2024-11-01,2024,11,In-Person Visit,Positive - Prescription Written,False,7,True
C0000113,R001,H0128,T010,P004,2024-11-14,2024-11-01,2024,11,Virtual Detail,Positive - Interest Shown,False,32,True
C0000114,R001,H0177,T010,P005,2024-11-18,2024-11-01,2024,11,In-Person Visit,Neutral - Information Only,False,36,False
C0000115,R001,H0133,T010,P002,2024-11-28,2024-11-01,2024,11,Email Follow-up,Neutral - Information Only,False,28,True
C0000116,R001,H0133,T010,P001,2024-12-10,2024-12-01,2024,12,Conference,Positive - Interest Shown,False,16,True
C0000117,R001,H0133,T010,P001,2024-12-19,2024-12-01,2024,12,Virtual Detail,Neutral - Information Only,False,32,False
C0000118,R001,H0128,T010,P005,2024-12-20,2024-12-01,2024,12,In-Person Visit,Negative - No Interest,False,8,True
C0000119,R001,H0133,T010,P002,2024-12-20,2024-12-01,2024,12,In-Person Visit,Positive - Prescription Written,True,35,False
C0000120,R001,H0133,T010,P004,2024-12-14,2024-12-01,2024,12,Conference,Positive - Interest Shown,True,41,True
C0000121,R002,H0160,T026,P006,2023-01-22,2023-01-01,2023,1,In-Person Visit,Neutral - Information Only,False,20,True
C0000122,R002,H0346,T026,P001,2023-01-20,2023-01-01,2023,1,In-Person Visit,Positive - Prescription Written,False,26,False
C0000123,R002,H0057,T026,P002,2023-01-04,2023-01-01,2023,1,In-Person Visit,Positive - Prescription Written,False,10,True
C0000124,R002,H0234,T026,P006,2023-01-02,2023-01-01,2023,1,In-Person Visit,Positive - Interest Shown,True,43,True
C0000125,R002,H0408,T026,P006,2023-01-02,2023-01-01,2023,1,Speaker Program,Positive - Prescription Written,False,37,True
C0000126,R002,H0412,T026,P004,2023-02-27,2023-02-01,2023,2,Conference,Positive - Interest Shown,False,43,True
C0000127,R002,H0346,T026,P003,2023-02-04,2023-02-01,2023,2,In-Person Visit,Positive - Prescription Written,True,27,True
C0000128,R002,H0057,T026,P006,2023-02-07,2023-02-01,2023,2,In-Person Visit,Positive - Interest Shown,True,28,True
C0000129,R002,H0057,T026,P004,2023-02-15,2023-02-01,2023,2,Conference,Neutral - Information Only,False,9,True
C0000130,R002,H0014,T026,P005,2023-02-11,2023-02-01,2023,2,In-Person Visit,Follow-up Scheduled,False,14,True
C0000131,R002,H0273,T026,P005,2023-03-12,2023-03-01,2023,3,Email Follow-up,Negative - No Interest,False,34,False
C0000132,R002,H0346,T026,P001,2023-03-29,2023-03-01,2023,3,In-Person Visit,Negative - No Interest,False,28,True
C0000133,R002,H0014,T026,P001,2023-03-21,2023-03-01,2023,3,In-Person Visit,Positive - Prescription Written,True,44,False
C0000134,R002,H0014,T026,P003,2023-03-17,2023-03-01,2023,3,Virtual Detail,Negative - No Interest,False,20,False
C0000135,R002,H0346,T026,P006,2023-03-18,2023-03-01,2023,3,Conference,Negative - No Interest,False,7,True
C0000136,R002,H0057,T026,P005,2023-03-22,2023-03-01,2023,3,Virtual Detail,Neutral - Information Only,False,26,False
C0000137,R002,H0412,T026,P003,2023-04-26,2023-04-01,2023,4,Email Follow-up,Positive - Prescription Written,False,8,False
C0000138,R002,H0057,T026,P003,2023-04-19,2023-04-01,2023,4,In-Person Visit,Neutral - Information Only,False,9,False
C0000139,R002,H0346,T026,P006,2023-04-25,2023-04-01,2023,4,Virtual Detail,Neutral - Information Only,False,30,True
C0000140,R002,H0160,T026,P004,2023-04-18,2023-04-01,2023,4,In-Person Visit,Negative - No Interest,False,20,True
C0000141,R002,H0014,T026,P003,2023-05-29,2023-05-01,2023,5,In-Person Visit,Negative - No Interest,False,40,False
C0000142,R002,H0057,T026,P006,2023-05-09,2023-05-01,2023,5,In-Person Visit,Negative - No Interest,False,44,True
C0000143,R002,H0408,T026,P002,2023-05-21,2023-05-01,2023,5,In-Person Visit,Positive - Interest Shown,True,25,False
C0000144,R002,H0234,T026,P005,2023-05-07,2023-05-01,2023,5,Virtual Detail,Negative - No Interest,False,40,False
C0000145,R002,H0408,T026,P004,2023-05-14,2023-05-01,2023,5,In-Person Visit,Positive - Prescription Written,False,28,True
C0000146,R002,H0273,T026,P005,2023-05-08,2023-05-01,2023,5,In-Person Visit,Positive - Interest Shown,True,13,False
C0000147,R002,H0273,T026,P004,2023-05-11,2023-05-01,2023,5,Conference,Follow-up Scheduled,False,17,True
C0000148,R002,H0057,T026,P001,2023-06-29,2023-06-01,2023,6,Conference,Positive - Prescription Written,True,35,True
C0000149,R002,H0346,T026,P002,2023-06-11,2023-06-01,2023,6,In-Person Visit,Positive - Prescription Written,True,33,True
C0000150,R002,H0408,T026,P005,2023-06-27,2023-06-01,2023,6,Conference,Neutral - Information Only,False,18,True
C0000151,R002,H0014,T026,P004,2023-06-19,2023-06-01,2023,6,Virtual Detail,Positive - Prescription Written,True,44,True
C0000152,R002,H0408,T026,P002,2023-06-02,2023-06-01,2023,6,In-Person Visit,Positive - Interest Shown,True,27,True
C0000153,R002,H0408,T026,P004,2023-06-09,2023-06-01,2023,6,In-Person Visit,Positive - Interest Shown,False,23,True
C0000154,R002,H0408,T026,P005,2023-07-30,2023-07-01,2023,7,Virtual Detail,Neutral - Information Only,False,24,False
C0000155,R002,H0014,T026,P003,2023-07-29,2023-07-01,2023,7,Virtual Detail,Neutral - Information Only,False,32,False
C0000156,R002,H0346,T026,P002,2023-07-25,2023-07-01,2023,7,Virtual Detail,Positive - Prescription Written,False,25,True
C0000157,R002,H0273,T026,P002,2023-07-03,2023-07-01,2023,7,Conference,Positive - Prescription Written,True,31,False
C0000158,R002,H0412,T026,P001,2023-07-07,2023-07-01,2023,7,In-Person Visit,Negative - No Interest,False,36,True
C0000159,R002,H0412,T026,P003,2023-07-20,2023-07-01,2023,7,In-Person Visit,Positive - Prescription Written,True,15,True
C0000160,R002,H0346,T026,P002,2023-07-30,2023-07-01,2023,7,Conference,Neutral - Information Only,False,26,True
C0000161,R002,H0273,T026,P006,2023-08-02,2023-08-01,2023,8,In-Person Visit,Neutral - Information Only,False,17,True
C0000162,R002,H0346,T026,P003,2023-08-11,2023-08-01,2023,8,In-Person Visit,Positive - Prescription Written,True,34,True
C0000163,R002,H0408,T026,P004,2023-08-30,2023-08-01,2023,8,Email Follow-up,Positive - Interest Shown,False,28,True
C0000164,R002,H0057,T026,P006,2023-08-24,2023-08-01,2023,8,In-Person Visit,Negative - No Interest,False,21,True
C0000165,R002,H0014,T026,P004,2023-08-07,2023-08-01,2023,8,In-Person Visit,Positive - Interest Shown,True,12,False
C0000166,R002,H0346,T026,P004,2023-08-25,2023-08-01,2023,8,Conference,Positive - Prescription Written,False,15,True
C0000167,R002,H0234,T026,P005,2023-08-17,2023-08-01,2023,8,Virtual Detail,Positive - Interest Shown,True,22,True
C0000168,R002,H0057,T026,P004,2023-08-18,2023-08-01,2023,8,In-Person Visit,Neutral - Information Only,False,29,True
C0000169,R002,H0234,T026,P006,2023-09-24,2023-09-01,2023,9,Conference,Positive - Interest Shown,True,29,True
C0000170,R002,H0412,T026,P001,2023-09-07,2023-09-01,2023,9,Email Follow-up,Positive - Interest Shown,False,26,False
C0000171,R002,H0234,T026,P002,2023-09-23,2023-09-01,2023,9,In-Person Visit,Neutral - Information Only,False,42,False
C0000172,R002,H0234,T026,P005,2023-09-23,2023-09-01,2023,9,Virtual Detail,Negative - No Interest,False,24,True
C0000173,R002,H0408,T026,P006,2023-09-18,2023-09-01,2023,9,In-Person Visit,Positive - Interest Shown,False,22,False
C0000174,R002,H0057,T026,P004,2023-09-09,2023-09-01,2023,9,In-Person Visit,Neutral - Information Only,False,31,True
C0000175,R002,H0057,T026,P002,2023-09-29,2023-09-01,2023,9,In-Person Visit,Follow-up Scheduled,False,36,True
C0000176,R002,H0160,T026,P005,2023-09-29,2023-09-01,2023,9,In-Person Visit,Positive - Interest Shown,True,43,False
C0000177,R002,H0014,T026,P006,2023-10-17,2023-10-01,2023,10,Virtual Detail,Negative - No Interest,False,10,True
C0000178,R002,H0346,T026,P003,2023-10-24,2023-10-01,2023,10,Virtual Detail,Positive - Interest Shown,True,7,True
C0000179,R002,H0408,T026,P001,2023-10-04,2023-10-01,2023,10,Email Follow-up,Neutral - Information Only,False,13,False
C0000180,R002,H0234,T026,P002,2023-10-26,2023-10-01,2023,10,Speaker Program,Positive - Prescription Written,False,9,True
C0000181,R002,H0346,T026,P004,2023-10-04,2023-10-01,2023,10,In-Person Visit,Neutral - Information Only,False,5,False
C0000182,R002,H0234,T026,P005,2023-11-11,2023-11-01,2023,11,Virtual Detail,Positive - Prescription Written,False,19,False
C0000183,R002,H0234,T026,P004,2023-11-23,2023-11-01,2023,11,In-Person Visit,Neutral - Information Only,False,14,False
C0000184,R002,H0273,T026,P001,2023-11-18,2023-11-01,2023,11,In-Person Visit,Positive - Prescription Written,False,8,True
C0000185,R002,H0234,T026,P003,2023-11-01,2023-11-01,2023,11,In-Person Visit,Negative - No Interest,False,34,True
C0000186,R002,H0346,T026,P006,2023-11-08,2023-11-01,2023,11,In-Person Visit,Positive - Interest Shown,False,11,False
C0000187,R002,H0273,T026,P002,2023-12-04,2023-12-01,2023,12,Virtual Detail,Negative - No Interest,False,31,False
C0000188,R002,H0234,T026,P001,2023-12-13,2023-12-01,2023,12,In-Person Visit,Positive - Interest Shown,False,32,True
C0000189,R002,H0160,T026,P003,2023-12-04,2023-12-01,2023,12,In-Person Visit,Positive - Prescription Written,False,18,False
C0000190,R002,H0273,T026,P006,2023-12-02,2023-12-01,2023,12,Conference,Neutral - Information Only,False,21,True
C0000191,R002,H0346,T026,P004,2023-12-14,2023-12-01,2023,12,In-Person Visit,Follow-up Scheduled,False,38,True
C0000192,R002,H0408,T026,P001,2024-01-11,2024-01-01,2024,1,In-Person Visit,Neutral - Information Only,False,40,True
C0000193,R002,H0160,T026,P001,2024-01-18,2024-01-01,2024,1,In-Person Visit,Neutral - Information Only,False,37,True
C0000194,R002,H0346,T026,P003,2024-01-14,2024-01-01,2024,1,Virtual Detail,Neutral - Information Only,False,12,True
C0000195,R002,H0273,T026,P003,2024-01-07,2024-01-01,2024,1,In-Person Visit,Neutral - Information Only,False,35,False
C0000196,R002,H0234,T026,P006,2024-02-18,2024-02-01,2024,2,Virtual Detail,Positive - Interest Shown,False,42,False
C0000197,R002,H0408,T026,P003,2024-02-21,2024-02-01,2024,2,In-Person Visit,Follow-up Scheduled,False,34,False
C0000198,R002,H0234,T026,P006,2024-02-26,2024-02-01,2024,2,In-Person Visit,Positive - Prescription Written,False,26,False
C0000199,R002,H0408,T026,P004,2024-02-19,2024-02-01,2024,2,In-Person Visit,Follow-up Scheduled,False,33,True
C0000200,R002,H0014,T026,P002,2024-02-09,2024-02-01,2024,2,In-Person Visit,Positive - Interest Shown,False,32,True
C0000201,R002,H0014,T026,P002,2024-02-19,2024-02-01,2024,2,In-Person Visit,Positive - Prescription Written,True,44,True
C0000202,R002,H0408,T026,P006,2024-02-01,2024-02-01,2024,2,In-Person Visit,Neutral - Information Only,False,28,True
C0000203,R002,H0346,T026,P006,2024-02-28,2024-02-01,2024,2,In-Person Visit,Follow-up Scheduled,False,26,False
C0000204,R002,H0057,T026,P004,2024-03-26,2024-03-01,2024,3,Virtual Detail,Positive - Prescription Written,True,11,False
C0000205,R002,H0273,T026,P003,2024-03-13,2024-03-01,2024,3,In-Person Visit,Positive - Interest Shown,False,29,True
C0000206,R002,H0346,T026,P002,2024-03-04,2024-03-01,2024,3,Conference,Positive - Prescription Written,True,16,True
C0000207,R002,H0273,T026,P003,2024-03-22,2024-03-01,2024,3,In-Person Visit,Positive - Prescription Written,False,14,True
C0000208,R002,H0346,T026,P005,2024-04-13,2024-04-01,2024,4,Speaker Program,Positive - Interest Shown,False,18,True
C0000209,R002,H0412,T026,P002,2024-04-27,2024-04-01,2024,4,In-Person Visit,Positive - Prescription Written,False,17,True
C0000210,R002,H0234,T026,P002,2024-04-10,2024-04-01,2024,4,In-Person Visit,Positive - Prescription Written,False,16,False
C0000211,R002,H0273,T026,P006,2024-04-05,2024-04-01,2024,4,In-Person Visit,Positive - Prescription Written,True,39,False
C0000212,R002,H0408,T026,P005,2024-04-04,2024-04-01,2024,4,Virtual Detail,Neutral - Information Only,False,37,True
C0000213,R002,H0234,T026,P002,2024-04-19,2024-04-01,2024,4,In-Person Visit,Neutral - Information Only,False,17,True
C0000214,R002,H0234,T026,P004,2024-04-17,2024-04-01,2024,4,In-Person Visit,Neutral - Information Only,False,27,False
C0000215,R002,H0346,T026,P006,2024-04-21,2024-04-01,2024,4,In-Person Visit,Neutral - Information Only,False,15,True
C0000216,R002,H0408,T026,P004,2024-05-12,2024-05-01,2024,5,Conference,Positive - Interest Shown,False,27,True
C0000217,R002,H0346,T026,P003,2024-05-18,2024-05-01,2024,5,In-Person Visit,Positive - Interest Shown,False,31,True
C0000218,R002,H0273,T026,P006,2024-05-09,2024-05-01,2024,5,In-Person Visit,Neutral - Information Only,False,7,False
C0000219,R002,H0014,T026,P002,2024-05-16,2024-05-01,2024,5,Email Follow-up,Negative - No Interest,False,33,True
C0000220,R002,H0057,T026,P004,2024-05-13,2024-05-01,2024,5,Virtual Detail,Neutral - Information Only,False,18,True
C0000221,R002,H0160,T026,P002,2024-05-24,2024-05-01,2024,5,Virtual Detail,Positive - Prescription Written,True,10,True
C0000222,R002,H0160,T026,P005,2024-05-04,2024-05-01,2024,5,In-Person Visit,Neutral - Information Only,False,40,True
C0000223,R002,H0408,T026,P002,2024-06-19,2024-06-01,2024,6,In-Person Visit,Negative - No Interest,False,18,True
C0000224,R002,H0346,T026,P002,2024-06-26,2024-06-01,2024,6,In-Person Visit,Neutral - Information Only,False,27,True
C0000225,R002,H0234,T026,P003,2024-06-16,2024-06-01,2024,6,Virtual Detail,Negative - No Interest,False,42,True
C0000226,R002,H0273,T026,P001,2024-06-26,2024-06-01,2024,6,Email Follow-up,Positive - Interest Shown,False,35,False
C0000227,R002,H0346,T026,P004,2024-07-13,2024-07-01,2024,7,In-Person Visit,Positive - Interest Shown,False,19,True
