sale_id,rep_id,territory_id,product_id,month,year,month_num,units_sold,revenue_usd,discount_pct,net_revenue_usd
S000072,R002,T026,P004,2023-01-01,2023,1,1,462.61,0.048,440.4
S000073,R002,T026,P003,2023-02-01,2023,2,1,952.41,0.112,845.74
S000074,R002,T026,P005,2023-02-01,2023,2,1,213.9,0.107,191.01
S000075,R002,T026,P004,2023-02-01,2023,2,1,151.88,0.148,129.4
S000076,R002,T026,P006,2023-02-01,2023,2,1,1376.76,0.043,1317.56
S000077,R002,T026,P003,2023-03-01,2023,3,1,1637.24,0.118,1444.05
S000078,R002,T026,P002,2023-03-01,2023,3,1,684.67,0.02,670.98
S000079,R002,T026,P006,2023-04-01,2023,4,2,1970.42,0.164,1647.27
S000080,R002,T026,P002,2023-04-01,2023,4,1,285.43,0.04,274.01
S000081,R002,T026,P001,2023-04-01,2023,4,1,177.18,0.153,150.07
S000082,R002,T026,P004,2023-04-01,2023,4,1,449.82,0.037,433.18
S000083,R002,T026,P002,2023-05-01,2023,5,1,444.93,0.044,425.35
S000084,R002,T026,P005,2023-05-01,2023,5,1,512.45,0.156,432.51
S000085,R002,T026,P004,2023-05-01,2023,5,1,421.63,0.108,376.09
S000086,R002,T026,P001,2023-05-01,2023,5,1,315.31,0.127,275.27
S000087,R002,T026,P002,2023-06-01,2023,6,1,598.53,0.048,569.8
S000088,R002,T026,P006,2023-06-01,2023,6,1,1247.52,0.105,1116.53
S000089,R002,T026,P005,2023-07-01,2023,7,1,427.65,0.071,397.29
S000090,R002,T026,P001,2023-07-01,2023,7,1,786.72,0.129,685.23
S000091,R002,T026,P006,2023-07-01,2023,7,1,857.38,0.078,790.5
S000092,R002,T026,P006,2023-08-01,2023,8,1,1167.8,0.1,1051.02
S000093,R002,T026,P002,2023-08-01,2023,8,1,959.83,0.128,836.97
S000094,R002,T026,P001,2023-08-01,2023,8,1,505.74,0.091,459.72
S000095,R002,T026,P004,2023-08-01,2023,8,1,501.66,0.057,473.07
S000096,R002,T026,P004,2023-09-01,2023,9,1,291.61,0.124,255.45
S000097,R002,T026,P001,2023-09-01,2023,9,1,575.8,0.096,520.52
S000098,R002,T026,P005,2023-09-01,2023,9,1,323.25,0.122,283.81
S000099,R002,T026,P001,2023-10-01,2023,10,1,111.88,0.069,104.16
S000100,R002,T026,P005,2023-10-01,2023,10,1,242.54,0.176,199.85
S000101,R002,T026,P004,2023-10-01,2023,10,1,335.99,0.163,281.22
S000102,R002,T026,P006,2023-10-01,2023,10,1,338.63,0.095,306.46
S000103,R002,T026,P001,2023-11-01,2023,11,1,639.5,0.105,572.35
S000104,R002,T026,P003,2023-11-01,2023,11,1,1528.94,0.029,1484.6
S000105,R002,T026,P006,2023-12-01,2023,12,1,1350.11,0.069,1256.95
S000106,R002,T026,P003,2023-12-01,2023,12,1,1934.8,0.146,1652.32
S000107,R002,T026,P006,2024-01-01,2024,1,1,502.62,0.074,465.43
S000108,R002,T026,P002,2024-01-01,2024,1,1,571.31,0.03,554.17
S000109,R002,T026,P001,2024-01-01,2024,1,1,189.39,0.038,182.19
S000110,R002,T026,P006,2024-02-01,2024,2,1,1342.2,0.093,1217.38
S000111,R002,T026,P004,2024-02-01,2024,2,1,349.35,0.086,319.31
S000112,R002,T026,P004,2024-03-01,2024,3,1,122.36,0.104,109.63
S000113,R002,T026,P003,2024-03-01,2024,3,1,1766.93,0.074,1636.18
S000114,R002,T026,P005,2024-03-01,2024,3,1,55.98,0.128,48.81
S000115,R002,T026,P002,2024-03-01,2024,3,1,263.55,0.053,249.58
S000116,R002,T026,P005,2024-04-01,2024,4,1,539.96,0.075,499.46
S000117,R002,T026,P006,2024-04-01,2024,4,1,1025.24,0.033,991.41
S000118,R002,T026,P002,2024-04-01,2024,4,1,660.97,0.044,631.89
S000119,R002,T026,P001,2024-05-01,2024,5,1,326.88,0.17,271.31
S000120,R002,T026,P002,2024-05-01,2024,5,1,1015.2,0.153,859.87
S000121,R002,T026,P001,2024-06-01,2024,6,1,227.13,0.051,215.55
S000122,R002,T026,P005,2024-06-01,2024,6,1,59.89,0.178,49.23
S000123,R002,T026,P004,2024-06-01,2024,6,1,124.85,0.026,121.6
S000124,R002,T026,P001,2024-07-01,2024,7,1,410.39,0.097,370.58
S000125,R002,T026,P004,2024-07-01,2024,7,1,191.47,0.024,186.87
S000126,R002,T026,P006,2024-07-01,2024,7,1,454.03,0.022,444.04
S000127,R002,T026,P004,2024-08-01,2024,8,1,81.14,0.081,74.57
S000128,R002,T026,P005,2024-08-01,2024,8,1,295.59,0.05,280.81
S000129,R002,T026,P003,2024-09-01,2024,9,1,1480.37,0.091,1345.66
S000130,R002,T026,P006,2024-09-01,2024,9,1,1315.95,0.148,1121.19
S000131,R002,T026,P001,2024-09-01,2024,9,1,222.45,0.17,184.63
S000132,R002,T026,P002,2024-10-01,2024,10,1,476.96,0.046,455.02
S000133,R002,T026,P004,2024-10-01,2024,10,1,437.43,0.111,388.88
S000134,R002,T026,P003,2024-10-01,2024,10,1,1868.31,0.152,1584.33
S000135,R002,T026,P001,2024-11-01,2024,11,1,409.67,0.12,360.51
S000136,R002,T026,P006,2024-11-01,2024,11,1,185.35,0.052,175.71
S000137,R002,T026,P005,2024-12-01,2024,12,1,246.31,0.063,230.79
S000138,R002,T026,P001,2024-12-01,2024,12,1,549.56,0.03,533.07
S000139,R002,T026,P002,2024-12-01,2024,12,1,913.47,0.103,819.38
S000140,R002,T026,P006,2024-12-01,2024,12,2,2005.69,0.109,1787.07
S000141,R003,T019,P002,2023-01-01,2023,1,1,1265.56,0.104,1133.94
S000142,R003,T019,P006,2023-01-01,2023,1,1,919.92,0.171,762.61
S000143,R003,T019,P004,2023-02-01,2023,2,1,464.07,0.103,416.27
S000144,R003,T019,P003,2023-02-01,2023,2,1,1418.39,0.029,1377.26
S000145,R003,T019,P005,2023-02-01,2023,2,1,146.45,0.172,121.26
S000146,R003,T019,P001,2023-03-01,2023,3,1,382.06,0.047,364.1
S000147,R003,T019,P004,2023-03-01,2023,3,1,490.45,0.143,420.32
S000148,R003,T019,P002,2023-03-01,2023,3,1,346.28,0.024,337.97
S000149,R003,T019,P005,2023-04-01,2023,4,1,152.27,0.174,125.78
S000150,R003,T019,P006,2023-04-01,2023,4,1,1160.11,0.036,1118.35
S000151,R003,T019,P003,2023-05-01,2023,5,1,1934.13,0.168,1609.2
S000152,R003,T019,P001,2023-05-01,2023,5,2,933.62,0.179,766.5
S000153,R003,T019,P004,2023-05-01,2023,5,2,629.38,0.174,519.87
S000154,R003,T019,P002,2023-06-01,2023,6,1,399.03,0.051,378.68
S000155,R003,T019,P006,2023-06-01,2023,6,1,1327.37,0.137,1145.52
S000156,R003,T019,P005,2023-07-01,2023,7,2,599.66,0.162,502.52
S000157,R003,T019,P002,2023-07-01,2023,7,1,928.34,0.084,850.36
S000158,R003,T019,P001,2023-08-01,2023,8,1,433.21,0.045,413.72
S000159,R003,T019,P002,2023-08-01,2023,8,1,803.17,0.179,659.4
S000160,R003,T019,P003,2023-08-01,2023,8,1,2177.57,0.068,2029.5
S000161,R003,T019,P005,2023-08-01,2023,8,1,449.81,0.114,398.53
S000162,R003,T019,P005,2023-09-01,2023,9,1,220.09,0.109,196.1
S000163,R003,T019,P001,2023-09-01,2023,9,1,466.32,0.031,451.86
S000164,R003,T019,P001,2023-10-01,2023,10,1,143.43,0.139,123.49
S000165,R003,T019,P004,2023-10-01,2023,10,2,641.18,0.138,552.7
S000166,R003,T019,P005,2023-10-01,2023,10,1,406.09,0.041,389.44
S000167,R003,T019,P006,2023-10-01,2023,10,1,683.36,0.049,649.88
S000168,R003,T019,P004,2023-11-01,2023,11,1,275.28,0.071,255.74
S000169,R003,T019,P005,2023-11-01,2023,11,2,772.67,0.048,735.58
S000170,R003,T019,P003,2023-11-01,2023,11,1,748.08,0.134,647.84
S000171,R003,T019,P006,2023-12-01,2023,12,1,556.16,0.158,468.29
S000172,R003,T019,P004,2023-12-01,2023,12,1,230.36,0.15,195.81
S000173,R003,T019,P005,2024-01-01,2024,1,1,181.11,0.049,172.24
S000174,R003,T019,P002,2024-01-01,2024,1,1,1175.56,0.09,1069.76
S000175,R003,T019,P004,2024-01-01,2024,1,1,514.45,0.088,469.18
S000176,R003,T019,P006,2024-01-01,2024,1,1,1132.82,0.136,978.76
S000177,R003,T019,P005,2024-02-01,2024,2,1,193.26,0.158,162.72
S000178,R003,T019,P003,2024-02-01,2024,2,1,586.37,0.063,549.43
S000179,R003,T019,P002,2024-02-01,2024,2,1,372.33,0.162,312.01
S000180,R003,T019,P006,2024-03-01,2024,3,1,361.92,0.023,353.6
S000181,R003,T019,P001,2024-03-01,2024,3,1,750.37,0.161,629.56
S000182,R003,T019,P002,2024-03-01,2024,3,1,1212.74,0.164,1013.85
S000183,R003,T019,P003,2024-03-01,2024,3,1,619.16,0.042,593.16
S000184,R003,T019,P003,2024-04-01,2024,4,1,2361.07,0.129,2056.49
S000185,R003,T019,P002,2024-04-01,2024,4,1,1130.6,0.176,931.61
S000186,R003,T019,P003,2024-05-01,2024,5,2,3471.0,0.131,3016.3
S000187,R003,T019,P001,2024-05-01,2024,5,1,630.59,0.029,612.3
S000188,R003,T019,P004,2024-05-01,2024,5,1,131.43,0.089,119.73
S000189,R003,T019,P002,2024-05-01,2024,5,2,1439.58,0.044,1376.24
S000190,R003,T019,P002,2024-06-01,2024,6,1,854.06,0.104,765.24
S000191,R003,T019,P003,2024-06-01,2024,6,2,3076.32,0.165,2568.73
S000192,R003,T019,P001,2024-06-01,2024,6,2,1092.09,0.072,1013.46
S000193,R003,T019,P005,2024-06-01,2024,6,1,451.6,0.049,429.47
S000194,R003,T019,P005,2024-07-01,2024,7,1,389.34,0.071,361.7
S000195,R003,T019,P002,2024-07-01,2024,7,1,981.95,0.168,816.98
S000196,R003,T019,P006,2024-07-01,2024,7,1,479.96,0.142,411.81
S000197,R003,T019,P004,2024-08-01,2024,8,1,185.98,0.127,162.36
S000198,R003,T019,P001,2024-08-01,2024,8,1,311.87,0.069,290.35
S000199,R003,T019,P001,2024-09-01,2024,9,1,539.63,0.126,471.64
S000200,R003,T019,P004,2024-09-01,2024,9,2,660.06,0.171,547.19
S000201,R003,T019,P006,2024-09-01,2024,9,2,1896.34,0.178,1558.79
S000202,R003,T019,P002,2024-09-01,2024,9,1,798.6,0.128,696.38
S000203,R003,T019,P005,2024-10-01,2024,10,1,142.27,0.096,128.61
S000204,R003,T019,P004,2024-10-01,2024,10,1,332.8,0.151,282.55
S000205,R003,T019,P001,2024-10-01,2024,10,1,576.09,0.05,547.29
S000206,R003,T019,P002,2024-10-01,2024,10,1,841.73,0.117,743.25
S000207,R003,T019,P001,2024-11-01,2024,11,1,290.64,0.132,252.28
S000208,R003,T019,P002,2024-11-01,2024,11,1,558.31,0.069,519.79
S000209,R003,T019,P006,2024-11-01,2024,11,1,827.32,0.069,770.23
S000210,R003,T019,P004,2024-11-01,2024,11,1,584.32,0.158,492.0
S000211,R003,T019,P004,2024-12-01,2024,12,1,448.53,0.022,438.66
S000212,R003,T019,P006,2024-12-01,2024,12,1,735.33,0.079,677.24
S000213,R003,T019,P002,2024-12-01,2024,12,1,571.19,0.087,521.5
S000214,R003,T019,P001,2024-12-01,2024,12,1,362.93,0.06,341.15
S000215,R004,T039,P003,2023-01-01,2023,1,2,2573.77,0.051,2442.51
S000216,R004,T039,P006,2023-01-01,2023,1,1,679.77,0.128,592.76
S000217,R004,T039,P006,2023-02-01,2023,2,1,934.82,0.115,827.32
S000218,R004,T039,P004,2023-02-01,2023,2,1,502.29,0.02,492.24
S000219,R004,T039,P005,2023-02-01,2023,2,1,298.25,0.053,282.44
S000220,R004,T039,P003,2023-02-01,2023,2,2,3090.04,0.037,2975.71
S000221,R004,T039,P006,2023-03-01,2023,3,1,706.25,0.057,665.99
S000222,R004,T039,P005,2023-03-01,2023,3,1,53.66,0.102,48.19
S000223,R004,T039,P001,2023-03-01,2023,3,1,348.95,0.119,307.42
S000224,R004,T039,P003,2023-03-01,2023,3,1,955.24,0.14,821.51
S000225,R004,T039,P001,2023-04-01,2023,4,1,746.26,0.033,721.63
S000226,R004,T039,P004,2023-04-01,2023,4,1,434.38,0.091,394.85
S000227,R004,T039,P005,2023-04-01,2023,4,1,429.69,0.16,360.94
S000228,R004,T039,P001,2023-05-01,2023,5,1,460.26,0.149,391.68
S000229,R004,T039,P005,2023-05-01,2023,5,1,258.96,0.141,222.45
S000230,R004,T039,P004,2023-05-01,2023,5,2,714.35,0.084,654.34
S000231,R004,T039,P004,2023-06-01,2023,6,1,84.83,0.085,77.62
S000232,R004,T039,P006,2023-06-01,2023,6,1,916.23,0.023,895.16
S000233,R004,T039,P002,2023-06-01,2023,6,1,575.8,0.02,564.28
S000234,R004,T039,P002,2023-07-01,2023,7,1,764.94,0.056,722.1
S000235,R004,T039,P004,2023-07-01,2023,7,1,452.31,0.16,379.94
S000236,R004,T039,P004,2023-08-01,2023,8,2,663.5,0.03,643.6
S000237,R004,T039,P006,2023-08-01,2023,8,1,439.59,0.128,383.32
S000238,R004,T039,P002,2023-08-01,2023,8,1,713.11,0.122,626.11
S000239,R004,T039,P006,2023-09-01,2023,9,1,236.93,0.107,211.58
S000240,R004,T039,P005,2023-09-01,2023,9,1,222.8,0.096,201.41
S000241,R004,T039,P003,2023-09-01,2023,9,1,1036.47,0.047,987.76
S000242,R004,T039,P002,2023-09-01,2023,9,1,1028.2,0.054,972.68
S000243,R004,T039,P005,2023-10-01,2023,10,1,556.56,0.052,527.62
S000244,R004,T039,P001,2023-10-01,2023,10,1,360.52,0.083,330.6
S000245,R004,T039,P006,2023-11-01,2023,11,1,512.13,0.138,441.46
S000246,R004,T039,P001,2023-11-01,2023,11,1,71.51,0.108,63.79
S000247,R004,T039,P004,2023-11-01,2023,11,2,667.71,0.055,630.99
S000248,R004,T039,P001,2023-12-01,2023,12,1,318.19,0.027,309.6
S000249,R004,T039,P006,2023-12-01,2023,12,1,1238.94,0.172,1025.84
S000250,R004,T039,P004,2024-01-01,2024,1,1,255.43,0.12,224.78
S000251,R004,T039,P005,2024-01-01,2024,1,1,204.05,0.17,169.36
S000252,R004,T039,P001,2024-02-01,2024,2,1,380.49,0.074,352.33
S000253,R004,T039,P005,2024-02-01,2024,2,1,190.99,0.168,158.9
S000254,R004,T039,P006,2024-02-01,2024,2,1,319.38,0.115,282.65
S000255,R004,T039,P004,2024-02-01,2024,2,1,213.96,0.041,205.19
S000256,R004,T039,P004,2024-03-01,2024,3,1,223.77,0.134,193.78
S000257,R004,T039,P005,2024-03-01,2024,3,1,534.08,0.148,455.04
S000258,R004,T039,P001,2024-03-01,2024,3,1,107.26,0.103,96.21
S000259,R004,T039,P006,2024-04-01,2024,4,1,823.66,0.059,775.06
S000260,R004,T039,P005,2024-04-01,2024,4,1,274.41,0.107,245.05
S000261,R004,T039,P002,2024-05-01,2024,5,1,173.41,0.059,163.18
S000262,R004,T039,P003,2024-05-01,2024,5,1,504.91,0.038,485.72
S000263,R004,T039,P005,2024-05-01,2024,5,1,567.89,0.053,537.79
S000264,R004,T039,P004,2024-06-01,2024,6,1,168.49,0.16,141.53
S000265,R004,T039,P001,2024-06-01,2024,6,1,384.43,0.167,320.23
S000266,R004,T039,P003,2024-06-01,2024,6,1,719.26,0.142,617.13
S000267,R004,T039,P002,2024-06-01,2024,6,1,281.75,0.138,242.87
S000268,R004,T039,P002,2024-07-01,2024,7,1,552.88,0.056,521.92
S000269,R004,T039,P006,2024-07-01,2024,7,1,398.65,0.098,359.58
S000270,R004,T039,P005,2024-07-01,2024,7,1,207.53,0.174,171.42
S000271,R004,T039,P001,2024-07-01,2024,7,1,458.92,0.167,382.28
S000272,R004,T039,P003,2024-08-01,2024,8,1,2378.09,0.147,2028.51
S000273,R004,T039,P002,2024-08-01,2024,8,1,482.99,0.147,411.99
S000274,R004,T039,P005,2024-08-01,2024,8,1,91.87,0.107,82.04
S000275,R004,T039,P006,2024-08-01,2024,8,1,805.58,0.083,738.72
S000276,R004,T039,P006,2024-09-01,2024,9,1,717.14,0.119,631.8
S000277,R004,T039,P003,2024-09-01,2024,9,1,634.27,0.14,545.47
S000278,R004,T039,P004,2024-10-01,2024,10,1,157.24,0.081,144.5
S000279,R004,T039,P001,2024-10-01,2024,10,2,934.78,0.134,809.52
S000280,R004,T039,P003,2024-10-01,2024,10,1,297.92,0.096,269.32
S000281,R004,T039,P005,2024-10-01,2024,10,1,181.63,0.106,162.38
S000282,R004,T039,P003,2024-11-01,2024,11,1,1037.04,0.029,1006.97
S000283,R004,T039,P001,2024-11-01,2024,11,1,280.04,0.042,268.28
S000284,R004,T039,P005,2024-11-01,2024,11,1,55.57,0.136,48.01
S000285,R004,T039,P001,2024-12-01,2024,12,1,559.27,0.103,501.67
S000286,R004,T039,P003,2024-12-01,2024,12,1,1733.3,0.037,1669.17
S000287,R004,T039,P005,2024-12-01,2024,12,1,523.59,0.116,462.85
S000288,R004,T039,P006,2024-12-01,2024,12,1,986.18,0.109,878.69
S000289,R005,T003,P002,2023-01-01,2023,1,5,3656.03,0.129,3184.4
S000290,R005,T003,P005,2023-01-01,2023,1,2,695.12,0.046,663.14
S000291,R005,T003,P001,2023-01-01,2023,1,4,1702.54,0.039,1636.14
S000292,R005,T003,P003,2023-01-01,2023,1,1,1235.86,0.054,1169.12
S000293,R005,T003,P006,2023-02-01,2023,2,4,3644.58,0.062,3418.62
S000294,R005,T003,P004,2023-02-01,2023,2,2,831.24,0.104,744.79
S000295,R005,T003,P003,2023-03-01,2023,3,3,4309.06,0.15,3662.7
S000296,R005,T003,P005,2023-03-01,2023,3,1,331.91,0.116,293.41
S000297,R005,T003,P004,2023-03-01,2023,3,2,853.94,0.134,739.51
S000298,R005,T003,P006,2023-04-01,2023,4,2,2398.94,0.115,2123.06
S000299,R005,T003,P005,2023-04-01,2023,4,1,469.19,0.098,423.21
S000300,R005,T003,P003,2023-05-01,2023,5,7,9562.03,0.15,8127.73
S000301,R005,T003,P005,2023-05-01,2023,5,2,622.81,0.082,571.74
S000302,R005,T003,P003,2023-06-01,2023,6,4,5222.63,0.163,4371.34
S000303,R005,T003,P004,2023-06-01,2023,6,1,425.13,0.136,367.31
S000304,R005,T003,P001,2023-07-01,2023,7,4,1885.93,0.108,1682.25
S000305,R005,T003,P003,2023-07-01,2023,7,4,5716.6,0.034,5522.24
S000306,R005,T003,P002,2023-07-01,2023,7,2,2023.52,0.118,1784.74
S000307,R005,T003,P005,2023-08-01,2023,8,3,1136.21,0.061,1066.9
S000308,R005,T003,P004,2023-08-01,2023,8,5,1623.41,0.177,1336.07
S000309,R005,T003,P006,2023-08-01,2023,8,2,2076.36,0.026,2022.37
S000310,R005,T003,P004,2023-09-01,2023,9,4,1523.79,0.026,1484.17
S000311,R005,T003,P003,2023-09-01,2023,9,5,6547.9,0.075,6056.81
S000312,R005,T003,P002,2023-09-01,2023,9,2,1521.46,0.07,1414.96
S000313,R005,T003,P003,2023-10-01,2023,10,7,9895.26,0.159,8321.91
S000314,R005,T003,P005,2023-10-01,2023,10,4,1255.99,0.066,1173.09
S000315,R005,T003,P006,2023-11-01,2023,11,2,1908.46,0.062,1790.14
S000316,R005,T003,P001,2023-11-01,2023,11,5,2148.26,0.087,1961.36
S000317,R005,T003,P003,2023-12-01,2023,12,2,3475.22,0.071,3228.48
S000318,R005,T003,P006,2023-12-01,2023,12,1,1355.79,0.109,1208.01
S000319,R005,T003,P006,2024-01-01,2024,1,1,672.01,0.083,616.23
S000320,R005,T003,P001,2024-01-01,2024,1,1,738.94,0.139,636.23
S000321,R005,T003,P005,2024-01-01,2024,1,3,960.89,0.106,859.04
S000322,R005,T003,P006,2024-02-01,2024,2,7,7104.87,0.096,6422.8
S000323,R005,T003,P003,2024-02-01,2024,2,2,2637.17,0.128,2299.61
S000324,R005,T003,P005,2024-02-01,2024,2,2,591.82,0.141,508.37
S000325,R005,T003,P001,2024-02-01,2024,2,6,2667.55,0.131,2318.1
S000326,R005,T003,P002,2024-03-01,2024,3,4,2935.17,0.172,2430.32
S000327,R005,T003,P003,2024-03-01,2024,3,10,13262.89,0.154,11220.4
S000328,R005,T003,P003,2024-04-01,2024,4,2,2580.82,0.166,2152.4
S000329,R005,T003,P004,2024-04-01,2024,4,7,2295.35,0.039,2205.83
S000330,R005,T003,P006,2024-04-01,2024,4,6,5846.45,0.17,4852.55
S000331,R005,T003,P001,2024-04-01,2024,4,9,3827.65,0.054,3620.96
S000332,R005,T003,P004,2024-05-01,2024,5,2,916.21,0.03,888.72
S000333,R005,T003,P001,2024-05-01,2024,5,5,2357.63,0.069,2194.95
S000334,R005,T003,P005,2024-06-01,2024,6,5,1470.8,0.122,1291.36
S000335,R005,T003,P006,2024-06-01,2024,6,4,4331.34,0.172,3586.35
S000336,R005,T003,P003,2024-06-01,2024,6,8,10471.2,0.064,9801.04
S000337,R005,T003,P001,2024-06-01,2024,6,1,549.59,0.041,527.06
S000338,R005,T003,P003,2024-07-01,2024,7,1,961.79,0.077,887.73
S000339,R005,T003,P005,2024-07-01,2024,7,4,1335.57,0.128,1164.62
S000340,R005,T003,P001,2024-07-01,2024,7,4,2099.88,0.147,1791.2
S000341,R005,T003,P002,2024-08-01,2024,8,1,948.62,0.041,909.73
S000342,R005,T003,P005,2024-08-01,2024,8,4,1316.67,0.07,1224.5
S000343,R005,T003,P005,2024-09-01,2024,9,7,2211.96,0.158,1862.47
S000344,R005,T003,P003,2024-09-01,2024,9,9,12270.2,0.067,11448.1
S000345,R005,T003,P006,2024-09-01,2024,9,4,4335.2,0.132,3762.95
S000346,R005,T003,P004,2024-09-01,2024,9,3,1209.39,0.025,1179.16
S000347,R005,T003,P006,2024-10-01,2024,10,4,3609.93,0.102,3241.72
S000348,R005,T003,P001,2024-10-01,2024,10,2,1009.55,0.157,851.05
